"","percentHsEdu","percentBachelorsEdu","perCapitaIncome","ueRate","uninsuredRate","medianAge","y","x"
"26870",76,13.3,21377,6.10641150094763,23.8,32,23.8,21377
"26871",91.9,31,38295,3.85149455528758,9.5,39,9.5,38295
"26872",86.3,16.6,31325,3.30532984437405,10,42.5,10,31325
"26873",82.2,19.7,32039,3.48837209302326,8.7,61.6,8.7,32039
"26874",68.3,4,14678,12.9363449691992,35.7,38,35.7,14678
"26875",81.2,13.3,24983,5.51738075990299,12.1,40.1,12.1,24983
"26876",84.7,19.6,26377,3.50495528160503,12.5,39.9,12.5,26377
"26877",100,33.3,NA,0,0,NA,0,NA
"26878",100,25.1,45613,19.4915254237288,0,44.8,0,45613
"26879",79.5,13.8,26104,6.19174434087883,22.1,35.7,22.1,26104
"26880",89.1,18.9,27842,7.3051948051948,12.3,45.6,12.3,27842
"26881",85.5,17.6,31006,3.23080899457224,8.4,45.7,8.4,31006
"26882",94.3,24.2,32544,4.01360544217687,6.5,39.8,6.5,32544
"26883",100,12.7,20281,30.6666666666667,19.6,30.4,19.6,20281
"26884",70.3,12.1,31469,2.22222222222222,7.9,54.1,7.9,31469
"26885",88,17.6,31571,0,25.9,39.8,25.9,31571
"26886",NA,NA,NA,NA,NA,NA,NA,NA
"26887",91,21.6,34002,8.0188679245283,18.1,33,18.1,34002
"26888",80.6,13.2,32661,3.39578454332553,12.7,45.8,12.7,32661
"26889",100,15.8,30301,0,29.2,56,29.2,30301
"26890",52.5,3.5,17444,3.2258064516129,27.2,39.3,27.2,17444
"26891",89.6,10,26942,0,11,30.2,11,26942
"26892",80,16.7,27322,6.86447662781114,19.2,38,19.2,27322
"26893",88.3,18.4,26249,1.94552529182879,13.9,35.5,13.9,26249
"26894",76.4,13.5,24054,6.59840728100114,15.2,39.1,15.2,24054
"26895",86.2,21.9,34788,2.28739002932551,8.6,46.8,8.6,34788
"26896",86,19.5,26864,11.2426035502959,9.7,32.3,9.7,26864
"26897",76.7,23.3,16682,7.32984293193717,32.6,28.1,32.6,16682
"26898",80,16.5,19816,13.3514986376022,17.8,32.8,17.8,19816
"26899",91.9,4.3,15480,20.4761904761905,0,16.2,0,15480
"26900",100,6.9,35348,18.8118811881188,0,46.8,0,35348
"26901",91.1,20.1,30697,2.57510729613734,16.1,42.6,16.1,30697
"26902",82,13.1,25401,4.67014282475629,20.9,38.7,20.9,25401
"26903",NA,NA,NA,NA,NA,NA,NA,NA
"26904",70.3,6.1,17762,4.88927236123095,22,38.4,22,17762
"26905",84.6,21.5,29498,4.93472584856397,18.7,53.4,18.7,29498
"26906",97.1,33.8,43234,0,13.8,54.8,13.8,43234
"26907",71.8,15.9,25138,0,6.2,50.2,6.2,25138
"26908",95.1,41.5,41553,4.13410806117678,8.6,43.7,8.6,41553
"26909",81.4,8.8,22585,39.7058823529412,10.9,28.7,10.9,22585
"26910",32.4,32.4,89187,0,11.4,62.5,11.4,89187
"26911",82.3,20.2,27774,5.79399141630901,13.4,38.3,13.4,27774
"26912",82.9,21,26795,4.36241610738255,23.7,47.2,23.7,26795
"26913",65.7,7,17794,7.44797371303395,15.2,40.9,15.2,17794
"26914",69.7,12.2,22661,9.33333333333333,13,44.2,13,22661
"26915",80,16.3,28855,9.23076923076923,12.4,40.1,12.4,28855
"26916",70.3,14.4,29869,4.31743421052632,30.9,32.2,30.9,29869
"26917",98.1,57.4,48455,3.37738619676946,4.5,42.4,4.5,48455
"26918",76.4,15.5,23182,9.33794466403162,17.3,41.3,17.3,23182
"26919",69,10.8,13003,17.5564116675839,19.1,26.6,19.1,13003
"26920",58.4,9.3,15163,12.9385964912281,32.5,39.4,32.5,15163
"26921",73.4,6.1,19682,0,1.5,41.5,1.5,19682
"26922",76.3,13,23719,0.528169014084507,14.4,45.7,14.4,23719
"26923",95.2,49.7,41784,4.8359824146094,4.6,37.7,4.6,41784
"26924",96.4,47.3,37138,3.39285714285714,17.4,58.3,17.4,37138
"26925",85.5,21.2,23878,8.72576177285319,19.3,45.2,19.3,23878
"26926",72.1,7.8,22302,8.07547169811321,21.5,34.6,21.5,22302
"26927",90.4,54,40950,13.0653266331658,0,49.5,0,40950
"26928",88.9,26.5,29132,5.50295518448385,14.6,48.8,14.6,29132
"26929",NA,NA,NA,NA,NA,NA,NA,NA
"26930",82.9,26.4,31418,7.53655793025872,9.4,43.1,9.4,31418
"26931",52.1,6.7,9942,7.03849395897724,32.7,29,32.7,9942
"26932",70.8,22.9,20033,4.35224730526744,30.2,33,30.2,20033
"26933",62.9,12.6,14218,6.1984392419175,29.5,27.7,29.5,14218
"26934",42.3,7.2,11307,0,25.1,38.2,25.1,11307
"26935",85.8,32.8,24672,4.12277401555054,24.3,30,24.3,24672
"26936",55.3,7.3,11163,7.40786040443575,31.6,24.2,31.6,11163
"26937",54.2,10.8,16696,0,25.2,38.5,25.2,16696
"26938",79.7,14.4,22883,2.26893560226894,11.7,36.8,11.7,22883
"26939",83.1,21.3,21333,5.31914893617021,10.3,49.2,10.3,21333
"26940",99.2,44.4,44478,1.0566762728146,8.4,52.1,8.4,44478
"26941",79.8,23.6,26717,3.03030303030303,24.7,40.6,24.7,26717
"26942",85.6,35.8,36720,17.2932330827068,16.7,54.6,16.7,36720
"26943",80.9,16.6,26463,4.45903905979952,14.9,45.8,14.9,26463
"26944",100,60,NA,0,40,NA,40,NA
"26945",62,6,17532,4.21471172962227,25.7,32.4,25.7,17532
"26946",88.9,25.4,30323,6.38252302420218,15.7,50.7,15.7,30323
"26947",83.4,21,30015,2.447894810463,14.1,34.7,14.1,30015
"26948",73.1,9.9,21192,8.68491459147973,20.6,32.3,20.6,21192
"26949",100,46.4,26036,0,0,20.5,0,26036
"26950",61.1,18,63393,0,15.5,50.2,15.5,63393
"26951",74.5,8.8,16307,13.0383247728171,18.4,32.3,18.4,16307
"26952",94.1,33.7,42354,5.27638190954774,12.4,47.9,12.4,42354
"26953",79.2,7.7,20205,3.51724137931035,19.8,36.2,19.8,20205
"26954",84.9,26,29440,20.1086956521739,10.1,42.8,10.1,29440
"26955",65.2,5.6,15897,5.43995988969667,21.1,31.4,21.1,15897
"26956",100,13.1,53996,6.06060606060606,45.8,18.8,45.8,53996
"26957",56.5,11.3,15867,12.555720653789,31.1,29.3,31.1,15867
"26958",89.6,24,30427,5.32427074483149,13.1,42.6,13.1,30427
"26959",72.3,8.8,16562,5.79408543263965,21.4,34.7,21.4,16562
"26960",100,7.3,33865,0,29.2,56.2,29.2,33865
"26961",75.1,0,20936,0,13.5,27.9,13.5,20936
"26962",94.8,37.9,32010,4.59470661377228,8.5,34,8.5,32010
"26963",88.9,22.3,23073,4.99575731862537,10.3,30.2,10.3,23073
"26964",74.7,8.2,17503,9.65647822558831,23.2,30.7,23.2,17503
"26965",90.8,23.9,43588,1.18466898954704,10.7,42,10.7,43588
"26966",81.2,15.6,27163,8.04873177551428,13,41.4,13,27163
"26967",80,15.8,57640,0,8,45.3,8,57640
